File,Zavg,betas,c8F1,c8f2,c8f3,mf1,mf2,mf3,rf1,rf2,rf3,tf1,tf2,tf3,c9f1,c9f2
run3_11_run1.dat,-3.78072729,[ 3.63574219  1.25292969  3.87597656  1.73046875  0.00585938  0.82617188 0.48339844],-0.676819911057,0.681990322581,-1.62574226,-0.915557642491,0.77053,-2.6366691,-0.473798231417,0.536224137931,-4.3334118,-0.518335494076,0.578469642857,-6.52708601,0.619453899192,0.629027272727
run1_11_run4.dat,-3.7079835,[ 3.98730469  1.33398438  3.71484375  1.0546875   0.05371094  1.15136719 0.48144531],-0.675997823592,0.678460483871,-1.55822442,-0.916251770466,0.773505,-2.62098103,-0.477776890787,0.537239655172,-4.09128759,-0.510214523425,0.5793625,-6.56144098,0.615345745023,0.626787272727
run2_11_run2.dat,-3.73173064,[  3.34277344e+00   4.51171875e-01   3.91113281e+00   2.73046875e+00 9.76562500e-04   8.59375000e-01   3.80859375e-01],-0.673826460533,0.676959677419,-1.56315009,-0.916523584466,0.774145,-2.6430612,-0.474105410553,0.545675862069,-4.14260395,-0.51792038766,0.580303571429,-6.57810733,0.615155688534,0.622885454545
run1_21_run3.dat,-3.97910441,[ 3.50878906  1.90136719  3.55957031  1.07226562  0.15722656  0.82324219 0.45996094],-0.675309440605,0.681815322581,-1.70631774,-0.915664520307,0.774145,-2.61576566,-0.475503157204,0.536855172414,-4.64740335,-0.515154735275,0.570153571429,-6.94693088,0.61598712712,0.627941818182
run3_11_run0.dat,-4.27554619,[ 2.82226562  1.40527344  3.36523438  2.14648438  0.13867188  0.56542969 0.27636719],-0.66531154389,0.680083870968,-1.74905025,-0.91478152745,0.77632,-2.64813643,-0.472687280376,0.539584482759,-5.19412376,-0.522722693608,0.576083928571,-7.51087433,0.605356891411,0.626324545455
run2_11_run4.dat,-4.18985788,[ 2.375       1.09179688  3.66796875  0.4453125   0.00878906  0.51171875 0.24414062],-0.669325360124,0.679301612903,-1.72753547,-0.915852476935,0.77682,-2.68605053,-0.473531743327,0.541539655172,-5.03924084,-0.528393229235,0.572426785714,-7.30660467,0.610970794462,0.617166363636
run2_21_run0.dat,-5.05221522,[ 3.11523438  3.58007812  3.44824219  0.52246094  0.07519531  0.26660156 0.28222656],-0.65442148648,0.678787096774,-2.01194773,-0.909598460904,0.770885,-2.71625692,-0.468030215544,0.535024137931,-6.97797836,-0.538909676281,0.574176785714,-8.50267785,0.598458222738,0.620317272727
run3_21_run4.dat,-3.692553,[ 3.21484375  1.34863281  1.70507812  0.66210938  0.02148438  0.98730469 0.30761719],-0.669618047342,0.677637903226,-1.47847206,-0.914451541929,0.771005,-2.62283699,-0.480468952675,0.545932758621,-4.0822643,-0.503456264593,0.5811625,-6.58663863,0.60611911407,0.626408181818
run1_11_run2.dat,-4.50192579,[ 3.58691406  3.66210938  3.64257812  0.34667969  0.03515625  0.81640625 0.47167969],-0.676936381961,0.683425,-1.9552702,-0.916069492175,0.77053,-2.6426697,-0.473881993398,0.539874137931,-5.77479455,-0.521052382604,0.577432142857,-7.63496869,0.619101435901,0.627607272727
run2_21_run4.dat,-4.2706686,[  3.77050781e+00   2.79882812e+00   9.84375000e-01   3.19335938e+00 9.76562500e-04   1.03710938e+00   3.12500000e-01],-0.664148806523,0.675479032258,-1.68502155,-0.913858645379,0.77274,-2.63250628,-0.477337729391,0.541884482759,-5.35088536,-0.509528088356,0.585319642857,-7.41426121,0.601716640706,0.620576363636
run2_21_run2.dat,-4.06805592,[ 3.77050781  2.1015625   1.79003906  3.57128906  0.02539062  0.96289062 0.37988281],-0.669123347152,0.674755645161,-1.65823035,-0.914828591361,0.77128,-2.62632899,-0.476052709454,0.542627586207,-4.90930195,-0.514167549037,0.579119642857,-7.07836238,0.608879542276,0.625239090909
run2_11_run0.dat,-3.37226276,[ 2.75292969  0.57910156  1.72558594  0.6328125   0.13867188  0.68847656 0.37402344],-0.675390210912,0.678991129032,-1.42027738,-0.914005694348,0.77209,-2.58689765,-0.477732960724,0.538706896552,-3.44416366,-0.506074924394,0.572258928571,-6.03771235,0.614940254673,0.633513636364
run2_21_run1.dat,-5.2326665,[ 1.8671875   2.70214844  2.97070312  0.09667969  0.08398438  0.46386719 0.22363281],-0.674031397281,0.679614516129,-2.28387554,-0.917725241565,0.776465,-2.65113692,-0.469192276705,0.539555172414,-7.09643815,-0.522708364445,0.578053571429,-8.89921539,0.614735395514,0.622933636364
run2_21_run3.dat,-3.54946851,[ 3.65625     0.48144531  2.75976562  1.796875    0.15917969  0.64453125 0.28710938],-0.655168495783,0.678210483871,-1.34163771,-0.9105415447,0.77731,-2.65671941,-0.479296359097,0.535362068966,-3.77219431,-0.521254741749,0.574967857143,-6.42732263,0.59293087231,0.619491818182
run3_11_run2.dat,-3.46669659,[  3.14648438e+00   9.13085938e-01   1.18066406e+00   2.11132812e+00 2.92968750e-03   7.75390625e-01   4.09179688e-01],-0.6755349317,0.679390322581,-1.45840761,-0.913670877024,0.77137,-2.60381843,-0.475641744873,0.539510344828,-3.78018011,-0.50902636109,0.581442857143,-6.02438021,0.616813886124,0.628672727273
run3_21_run3.dat,-4.33343497,[ 3.08984375  2.47753906  0.96777344  1.62402344  0.0390625   0.74414062 0.23925781],-0.659879743502,0.675727419355,-1.6706756,-0.912482090672,0.77274,-2.64671218,-0.47907988917,0.536217241379,-5.47530245,-0.515137573718,0.575769642857,-7.54104966,0.59699604898,0.621426363636
run3_11_run4.dat,-4.62945793,[ 3.74121094  3.40234375  3.21972656  3.00976562  0.04296875  0.85253906 0.40332031],-0.670817666325,0.678967741935,-1.9400339,-0.915921495109,0.773875,-2.64658934,-0.472456936675,0.542868965517,-6.00926941,-0.523084614954,0.572266071429,-7.92193908,0.612364234998,0.622856363636
run1_21_run0.dat,-3.44187292,[ 3.87890625  0.17382812  3.12304688  2.328125    0.24609375  0.99804688 0.39453125],-0.667045261166,0.676490322581,-1.38424164,-0.914124069652,0.773505,-2.60256107,-0.479236901593,0.543113793103,-3.45988964,-0.504811992581,0.578151785714,-6.32079935,0.603819934175,0.62667
run1_11_run1.dat,-4.65920417,[ 3.37109375  3.42773438  2.97167969  0.171875    0.04003906  0.875 0.30566406],-0.667257726227,0.679758064516,-1.8796512,-0.915319007845,0.776145,-2.66105149,-0.477356797083,0.536972413793,-6.05315779,-0.518520979112,0.579678571429,-8.04295622,0.605405274019,0.621897272727
run2_11_run1.dat,-3.33400745,[ 3.97265625  0.31738281  3.7421875   0.16113281  0.07421875  1.02636719 0.45605469],-0.672861755271,0.678180645161,-1.36031957,-0.91460095013,0.773505,-2.62943374,-0.479670294112,0.541217241379,-3.33203753,-0.512261210233,0.581214285714,-6.01423895,0.611861475974,0.626656363636
